temperature,wind_speed,mean_sea_level_pressure,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,relative_humidity
16.43,1.81,101447.41,0,317.73,0,0.8
16,1.29,101421.08,0,315.28,0,0.82
14.2,0.65,101385.18,0,312.95,0,0.89
13.83,1.04,101359.63,0,310.51,0,0.9
13.82,1.33,101334,0,308.32,0,0.91
13.03,1.39,101382.75,0,306.68,0,0.93
13,0.98,101403.98,0,305.73,0,0.94
13.73,1.68,101415.43,44.03,303.97,0,0.92
14.34,1.35,101434.66,218.48,305.13,0.06,0.9
19.01,0.87,101434.98,432.19,311.28,0.44,0.76
19.52,2.48,101482.11,635.49,321.31,0.3,0.74
22.25,3.92,101499.28,818.85,329.1,0.26,0.63
23.27,4.68,101522.2,953.27,334.97,0.5,0.6
23.05,4.85,101530.82,1041.81,337.13,0.84,0.59
23.11,4.77,101490.49,1052.69,340.64,0.84,0.56
23.01,4.62,101448.99,959.97,344.71,0.9,0.56
23.21,4.89,101425.88,896.74,352.98,0.48,0.56
22.14,5.65,101426.39,729.09,345.49,0,0.59
21.45,5.98,101481.18,581.22,341.65,0,0.59
21.12,6.04,101537.01,380.14,332.73,0,0.59
21.14,5.63,101676.97,176.4,325.08,0,0.57
17.28,4.28,101731.23,24.64,317.65,0.01,0.71
17.47,3.74,101787.98,0,310.5,0,0.7
15.12,2.97,101814.54,0,306.33,0.02,0.78
14.84,2.36,101803.56,0,307.39,0.02,0.8
14.38,1.47,101755.17,0,304.11,0,0.82
13.46,1.72,101729.97,0,301.68,0.12,0.84
13.43,1.84,101683.76,0,302.65,0.24,0.85
13.48,2.04,101664.27,0,303.99,0.36,0.84
13.23,2.14,101668.34,0,300.89,0.33,0.85
13.25,2.22,101707.95,0,311.48,0.66,0.85
13.61,2.4,101758.35,34.96,321.24,0.92,0.84
13.79,3,101825.28,124.85,345.2,0.94,0.83
16.88,3.24,101867.83,333.28,334.75,0.91,0.72
16.61,3.19,101887.56,445.77,350.36,0.97,0.72
18.4,3.06,101877.13,635.57,349.43,0.99,0.62
19.57,3.06,101887.45,762.52,340.81,0.97,0.56
19.3,3.18,101837.24,703.91,342.98,0.97,0.55
20.3,3.97,101823.22,809,328.67,0.8,0.51
20.38,4.52,101808.81,819.45,329.74,0.58,0.5
20.41,4.2,101763.5,811.1,322.89,0.39,0.49
20.09,4.28,101749.78,667.61,308.67,0.28,0.47
20.04,5.04,101758.2,604.56,299.29,0.13,0.46
19.95,5.37,101774.34,405.92,294.89,0.04,0.47
20.06,5.09,101877.58,186.03,294.01,0.01,0.48
16.71,4.42,101894.94,26.02,293.77,0,0.62
16.67,3.98,101954.17,0,293.15,0.01,0.62
14.39,3.39,101929.44,0,292.44,0.01,0.73
14.27,2.97,101917.27,0,290.77,0.01,0.74
14.01,2.74,101902.52,0,288.87,0.03,0.75
12.5,2.51,101883.98,0,292.11,0.04,0.82
12.45,2.55,101848.73,0,294.03,0.09,0.83
12.46,2.58,101834.88,0,295.97,0.05,0.83
11.99,2.51,101836.17,0,292.41,0.06,0.86
12.09,2.62,101850.41,0,287.74,0.14,0.86
12.34,3.05,101857.97,40.98,288.45,0.16,0.84
12.55,3.43,101912.85,213.09,288.06,0,0.83
16.76,3.68,101931.19,429.68,290.34,0,0.62
16.82,3.65,101957.88,636.14,294.75,0,0.61
18.98,3.56,101876.09,823.63,299.98,0,0.53
20.78,3.61,101844.45,962.29,306.36,0,0.48
21,3.79,101818.15,1050.17,309.83,0,0.48
22.74,3.91,101771.16,1074.49,313.73,0,0.44
23.01,4.21,101724.06,1036.79,317,0,0.43
23,4.63,101690.48,939.71,319.29,0,0.44
22.57,4.68,101642.93,790.44,320.27,0,0.47
22.39,4.73,101610.71,601.05,323.47,0,0.48
22.25,4.39,101607.42,389.77,322.44,0,0.49
22.25,3.83,101653.92,180.05,320.62,0,0.5
19.19,3.55,101688.89,25.02,317.6,0,0.63
18.89,3.03,101729.13,0,314.23,0,0.65
16.38,2.43,101726.95,0,311.14,0,0.77
16.05,1.72,101760.03,0,307.91,0,0.78
15.52,1.2,101776.6,0,304.56,0,0.78
13.96,0.69,101746.32,0,301.34,0,0.84
13.4,0.5,101708.6,0,298.61,0,0.85
13.31,0.55,101667.7,0,296.63,0,0.85
13.18,0.56,101653.6,0,295.76,0.01,0.87
13.62,0.81,101656.44,0,294.4,0.03,0.85
13.3,1.05,101685.79,39.34,295.61,0.01,0.89
13.58,0.97,101750.2,210.3,300.02,0,0.87
19.37,2.3,101745.47,421.09,310,0.03,0.68
21.06,3.25,101696.71,624.83,321.84,0.17,0.62
26.89,3.43,101640.01,803.92,335.15,0.38,0.46
29.08,3.66,101579.41,932.18,347.91,0.67,0.41
29.8,4.42,101498.78,1003.94,357.82,0.9,0.38
32.37,4.64,101399.9,1024.23,364.86,0.95,0.28
32.52,4.04,101358.97,943.81,374.96,0.86,0.28
32.79,3.57,101318.67,796.3,384.17,0.62,0.27
33.39,3.33,101283.79,710.46,377.87,0.91,0.23
34.01,2.7,101273.95,515.64,380.61,0.99,0.19
34.11,1.59,101284.91,324.1,382.67,1,0.19
33.47,1.81,101323.02,131.41,385.65,0.98,0.27
27.72,1.57,101365.07,16.08,389.56,1,0.39
27.08,0.87,101405.08,0,368.53,0.98,0.41
22.93,0.24,101400.96,0,363.49,0.99,0.55
22.18,0.52,101375.3,0,358.6,0.94,0.58
21.99,1.65,101352.34,0,355.91,0.97,0.58
20.38,2.32,101301.17,0,344.72,1,0.62
20.27,2.83,101257.24,0,348.11,1,0.6
20.15,3.22,101246.1,0,345.82,0.93,0.6
19.66,3.78,101263.01,0,337.19,0.87,0.61
20.03,4.31,101276.1,0,326.51,0.96,0.59
20.71,4.66,101332.68,36.52,326.05,0.87,0.57
21.82,4.67,101352.49,201.06,328.72,0.64,0.55
28.31,4.93,101361.19,414.62,334.71,0.15,0.38
29.54,4.96,101377.44,622.11,342.67,0.02,0.34
32.84,4.53,101327.52,812.95,351.11,0.05,0.25
33.46,4.18,101331.67,953.8,357.22,0.17,0.21
32.47,5.88,101351.34,1041.17,358.05,0.14,0.25
29.66,6.83,101413.59,1068.36,356.71,0.08,0.34
28.59,6.49,101449.68,1031.01,357.91,0.01,0.37
28.46,5.72,101495.31,933.46,354.73,0,0.37
27.22,4.89,101508.63,775.04,353.64,0,0.41
26.84,4.45,101510.08,598.33,345.53,0,0.42
26.45,4.28,101541.02,384.18,341.77,0.01,0.44
26.13,4.14,101642.03,178.42,337.03,0,0.46
20.64,4.16,101689.76,24.57,330.94,0,0.67
20.47,3.58,101804.76,0,324.74,0,0.69
17.49,2.9,101773.63,0,320.33,0.01,0.8
17.37,2.24,101775.55,0,317.02,0,0.81
16.95,2.09,101759.41,0,315.01,0.02,0.83
15.68,2.05,101718.1,0,313.64,0.01,0.87
15.57,2.23,101706.48,0,312.47,0,0.88
15.45,2.5,101688.29,0,311.23,0,0.88
14.46,2.3,101675.94,0,309.95,0,0.9
14.46,1.91,101700.71,0,308.08,0,0.89
15.14,1.9,101740.64,34.93,307.67,0,0.87
15,1.73,101755.62,200.5,310.82,0,0.87
19.4,1.87,101779.45,411.9,316.4,0.01,0.7
19.65,1.58,101778.23,621.89,322.97,0,0.67
23.76,1.72,101718.3,805.65,330.71,0,0.52
25.86,2.09,101713.95,947.31,338.66,0,0.45
26.75,2.41,101647.14,1035.07,346.58,0.06,0.44
28.91,2.71,101572.96,1061.65,353.57,0.54,0.4
29.39,3.11,101486.7,1027,358.91,0.66,0.39
29.77,3.52,101415.76,926.54,362.89,0.58,0.38
29.63,3.94,101360.28,777.37,364.99,0.41,0.4
29.73,4.1,101348.33,594.51,361.56,0.39,0.4
29.67,3.96,101350.42,381.63,358.66,0.14,0.41
29.13,3.36,101353.63,176.83,354.19,0.15,0.43
24.84,2.64,101381.1,24.41,348.59,0.24,0.61
24.47,2.25,101452.83,0,345.13,0.04,0.63
21.5,2.19,101418.12,0,341.51,0,0.73
21.28,1.96,101395.94,0,336.15,0,0.73
20.95,1.66,101360.68,0,331.74,0,0.74
19.18,1.48,101293.17,0,326.98,0,0.81
18.59,1.47,101243.24,0,323.21,0,0.83
18.16,1.59,101190.96,0,321.02,0,0.85
16.92,1.83,101165.99,0,320.67,0.01,0.89
16.56,1.7,101150.92,0,321.98,0.01,0.91
17.41,1.34,101171.66,33.87,319.89,0,0.89
18.13,1.33,101202.9,196.12,325.3,0,0.83
24.28,2.43,101206.74,407.74,336.62,0,0.65
26.18,3.6,101111.49,615.37,350.58,0.02,0.58
32.46,4.65,101042.16,772.85,369.34,0.05,0.39
34.95,5.38,100939.76,887.26,382.85,0.02,0.32
35.97,6.01,100862.6,960.01,401.63,0.12,0.28
38.56,6.21,100761.46,990.02,401.36,0.36,0.21
38.64,5.69,100652.73,882.55,416.41,0.14,0.21
38.46,5.2,100576.9,773.63,416.4,0.25,0.2
38.32,4.82,100509.67,681.74,423.65,0.5,0.2
38.25,4.53,100430.38,439.61,425.89,0.92,0.19
38.05,3.48,100427.73,262.51,423.91,0.99,0.2
37.15,2.92,100383.67,115.2,415.43,0.99,0.22
33.35,3.93,100368.78,13.35,422.27,0.99,0.27
33.05,4.02,100365.57,0,423.77,0.99,0.27
30.77,4.4,100379.55,0,407.92,0.98,0.32
30.63,4.97,100317.23,0,419.19,0.99,0.32
30.81,5.17,100286.15,0,412.87,0.52,0.32
30.72,5.13,100210.64,0,408.93,0.48,0.31
30.7,5.44,100159.22,0,389.12,0.89,0.31
30.67,6.14,100153.64,0,395.55,0.61,0.31
30.76,6.25,100137.57,0,397.29,0.21,0.3
30.76,6.36,100152.3,0,370.15,0.33,0.3
30.95,6.5,100214.81,30.45,368.51,0.78,0.29
30.88,6.03,100289.21,133.55,396.65,0.89,0.28
31.3,4.82,100423.54,253.11,399.71,0.83,0.32
30.72,4.59,100489.22,450.08,396.83,0.63,0.34
31.23,3.27,100492.5,739.35,393.29,0.23,0.37
31.88,2.04,100449.12,917.56,384.02,0.36,0.38
32.38,1.76,100387.89,937.17,403.12,0.9,0.37
31.36,3.91,100382.27,644.93,421.93,0.99,0.43
30.61,6.57,100492.59,339.26,429,0.93,0.48
25.38,7.76,100656.94,458.59,421.62,0.95,0.67
21.35,7.23,100824.22,520.22,401.51,0.99,0.78
20.09,6.19,100923.87,262.03,402.76,1,0.78
20.02,6.17,100983.08,118.53,397.49,1,0.77
20.01,5.63,101054.42,24.97,396.8,1,0.76
17.29,5.08,101147.76,4.9,390.52,1,0.8
17.35,5.03,101210.4,0,383.1,1,0.78
16.12,5.45,101272.77,0,384.99,1,0.76
16.2,5.2,101350.02,0,376.53,1,0.74
16.3,4.84,101378.71,0,372.12,1,0.72
15.6,4.81,101334.69,0,368.96,1,0.73
15.75,4.69,101328.9,0,368.86,1,0.72
15.91,4.73,101319.43,0,369.07,1,0.7
15.81,4.24,101319.44,0,368.19,1,0.7
15.86,2.89,101410.6,0,368.74,1,0.7
16,2.92,101419.46,5.34,368.17,1,0.7
16.15,2.73,101487.33,47.2,367.2,1,0.68
16.75,2.63,101591.92,110.89,365.89,1,0.68
16.74,4,101657.65,194.41,370.01,1,0.69
17.93,5.01,101678.7,322.33,375.22,1,0.63
18.13,5.88,101719.2,378.28,371.85,1,0.6
18.18,6.23,101762.84,549.19,360.66,0.98,0.58
19.04,6.17,101741.42,688.91,360.11,0.88,0.53
18.86,6.01,101734.77,694.08,361.68,0.78,0.54
18.69,5.9,101722.1,714.09,355.21,0.63,0.55
18.3,5.51,101740.37,618.64,343.57,0.54,0.55
18.42,5.37,101758.84,442.11,344.98,0.5,0.54
18.41,5.66,101810.62,313.01,328.98,0.6,0.54
18.41,5.36,101883.45,135.03,326.54,0.36,0.54
16.35,5.08,101937.97,20.47,321.8,0.79,0.62
16.29,4.74,102004.5,0,309.58,0.63,0.62
14.82,4.11,102007.2,0,300.31,0.61,0.69
14.68,3.57,101990.35,0,302.79,0.49,0.7
14.69,3.22,102001.83,0,309.84,0.48,0.7
14.17,2.81,101971.7,0,314.53,0.6,0.72
14.2,2.73,101942.16,0,315.81,0.72,0.72
14.26,2.8,101914.02,0,322.91,0.62,0.72
13.85,2.81,101903.66,0,330.23,0.58,0.73
13.88,2.89,101932.27,0,324.06,0.51,0.73
13.84,3,101956.97,25.94,310.43,0.44,0.73
13.77,3.69,101996.19,144.16,309.92,0.37,0.72
16.73,3.64,102007.94,391.96,299.75,0.2,0.56
16.94,3.28,102041.85,577.36,311.32,0.44,0.54
18.86,3.13,101996.03,796.4,310.35,0.02,0.49
20.13,3.14,101962.43,948.24,304.35,0.28,0.45
20.27,4.35,101931.64,1050.59,303.54,0.27,0.46
21.02,5.16,101901.04,1065.56,306.78,0.16,0.46
20.75,5.49,101890.15,1033.78,312.26,0.03,0.47
20.51,5.77,101833.12,946.53,312.79,0,0.49
19.73,5.85,101825.86,802.01,307.92,0,0.51
19.63,5.95,101806.18,610.34,307.06,0,0.51
19.49,5.94,101821.23,394.12,305.78,0,0.52
19.56,5.57,101895.86,180.84,302.74,0,0.51
16.48,4.7,101921.92,23.91,300.05,0,0.61
16.45,4.39,101978.83,0,298.62,0,0.61
14.86,4.26,101938.5,0,296.95,0.03,0.69
14.84,4.14,101940.99,0,296.16,0.04,0.7
14.86,3.96,101900.9,0,298.12,0.04,0.71
14.55,3.83,101806.33,0,295.18,0.05,0.75
14.44,3.76,101771.91,0,294.69,0.07,0.77
14.38,3.57,101718.13,0,295.95,0.04,0.78
14.28,3.32,101713.92,0,294.17,0.13,0.8
14.18,3.06,101715.69,0,303.44,0.27,0.81
14.29,2.85,101749,26.95,304.68,0.44,0.8
14.13,2.75,101788.21,186.11,300.02,0.52,0.81
17.2,1.87,101765.04,388.66,310.28,0.43,0.73
17.42,1.37,101785.8,592.83,314.66,0.72,0.72
20.35,1.37,101711.74,767.41,333.75,0.6,0.62
22.11,1.6,101671.58,923.48,331.65,0.65,0.56
22.57,2.17,101600.52,1029.4,339.26,0.49,0.55
24.66,3.02,101521.05,1066.14,337.62,0.34,0.5
24.52,3.58,101446.51,1016.61,344.28,0.28,0.5
24.39,3.84,101343.32,926.8,345.2,0.35,0.51
24.51,4.14,101285.72,786.9,343.93,0.35,0.53
24.55,4.5,101212.65,595.01,344.46,0.12,0.53
24.5,4.51,101219.63,385.79,342.63,0.02,0.55
24.71,3.86,101229.94,175.47,339.91,0.15,0.54
20.89,2.92,101213.83,22.86,334.81,0.46,0.73
20.52,2.55,101207.08,0,330.93,0.76,0.76
18.22,2.12,101172.44,0,331.25,0.85,0.9
18.24,1.9,101139.53,0,335.56,0.91,0.91
18.19,1.96,101094.26,0,334.29,0.94,0.91
17.05,1.8,101022.67,0,332.54,0.92,0.94
16.83,1.54,100953.65,0,333.5,0.95,0.95
16.52,1.49,100924.77,0,325.9,0.9,0.96
15.74,1.41,100932.72,0,330.02,0.61,0.98
15.92,1.35,100925.94,0,337.72,0.5,0.99
15.83,1.95,100933.53,20.43,345.59,0.97,0.99
15.77,1.79,100904.32,140.78,340.98,0.21,0.97
20.8,1.73,100846.85,358.46,348.74,0.09,0.76
22.88,1.92,100791.48,607.38,330.92,0.03,0.57
27.55,2.83,100702.87,798.76,332.22,0.22,0.39
28.7,4.21,100666.06,948.74,337.6,0.61,0.31
28.61,4.77,100588.05,1029.82,342.53,0.59,0.32
28.3,5.97,100596.17,1069.06,344.28,0.35,0.3
27.96,7.73,100585.12,1020.05,346.68,0.47,0.34
24.4,8.5,100645.42,920.98,348.63,0.11,0.56
21.04,7.62,100716.73,747.17,347.74,0.3,0.66
21,6.68,100731.8,563.43,346.31,0.36,0.66
21.26,6.42,100818.8,303.09,343.76,0.17,0.63
21.62,5.4,100897.82,152.84,340.71,0.11,0.58
18.56,4.16,100994.32,18.98,328.69,0.35,0.66
18.66,4.56,101049.49,0,332.95,0.98,0.67
16.73,6.58,101080.12,0,338.53,1,0.72
16.25,6.82,101107.4,0,355.2,0.99,0.74
16.02,6.1,101066.09,0,350.94,0.97,0.72
14.61,5.64,101025.04,0,351.38,0.73,0.72
14.53,5.04,100964.97,0,336.12,0.22,0.71
14.41,4.56,100942.45,0,314.77,0.27,0.71
13.18,4.14,100946.55,0,300.36,0.24,0.75
13.04,4.06,100946.47,0,300.55,0.21,0.76
13.28,4.58,100986.95,20.63,307.05,0.24,0.75
13.38,5.02,100986.9,147.28,303.39,0.22,0.75
15.96,5.83,100972.2,354.23,297.43,0.23,0.63
16.32,6.72,100961.47,509.57,317.99,0.39,0.6
17.87,7.41,100926.17,652.16,318.05,0.36,0.53
18.45,7.99,100902.24,844.96,317.39,0.42,0.49
18.5,8.34,100885.02,947.9,329.71,0.32,0.46
18.51,8.23,100911.61,765.49,318.79,0.39,0.44
18.45,8.19,100880.82,804.08,329.67,0.55,0.45
18.21,8.5,100872.3,739.45,324.41,0.77,0.47
17.7,8.32,100851.13,590.1,324.51,0.51,0.49
17.15,8.41,100851.43,304.2,339.21,0.49,0.51
16.93,8.12,100869.43,247.62,334.68,0.58,0.53
16.49,7.76,100909.58,127.42,311.54,0.38,0.57
13.01,8.22,100960.63,17.03,313.63,0.55,0.74
12.54,7.84,100996.17,0,317.38,0.52,0.8
11.2,7.59,100978.49,0,320.23,0.64,0.84
11.1,7.48,100958.24,0,318.27,0.61,0.81
10.78,7.14,101007.59,0,308.89,0.6,0.8
9.66,6.36,100953.56,0,298.92,0.45,0.86
9.91,6.02,100916.11,0,308.44,0.58,0.85
10.13,5.93,100853.43,0,305.91,0.74,0.84
10.24,6.2,100844.78,0,301.02,0.65,0.87
10.55,6.39,100852.71,0,314.75,0.61,0.87
10.79,6.27,100896.63,16.29,309.3,0.81,0.88
10.86,5.79,100946.71,110.12,323.24,0.89,0.88
13.32,6.28,100994.96,266.66,333.76,0.75,0.8
13.24,6.82,101077.51,367.12,335.87,0.5,0.8
14.53,7.47,101078.87,509.16,332.63,0.42,0.76
15.53,7.29,101121.18,738.84,329.3,0.56,0.7
15.46,7.23,101136.55,842.27,328.21,0.55,0.7
16.27,7.54,101136.73,907.33,317.7,0.44,0.64
16.12,7.87,101161.98,887.27,333.78,0.53,0.67
16.15,7.57,101139.71,831.76,307.94,0.78,0.68
15.62,7.42,101152.61,558.46,328.19,0.73,0.69
15.57,7.65,101159.64,370.15,338.76,0.58,0.67
15.62,7.53,101229.67,248.48,326.56,0.53,0.65
15.44,6.83,101280.17,124.38,310.69,0.53,0.65
13.63,6.61,101309.49,14.1,308.9,0.4,0.72
13.82,6.45,101346.11,0,321.9,0.58,0.7
12.75,5.8,101373.1,0,309.73,0.53,0.75
12.71,5.34,101327.36,0,305.03,0.54,0.75
12.93,5.09,101328.62,0,322.07,0.54,0.73
12.37,4.76,101275.61,0,308.59,0.79,0.73
12.4,4.41,101213.6,0,316.69,0.71,0.71
12.48,4.07,101196.06,0,327.44,0.84,0.71
12.84,4.07,101254.55,0,349.51,0.95,0.7
12.88,4.19,101273.44,0,353.42,1,0.71
12.93,4.39,101309.05,10.85,351.06,0.99,0.72
12.47,5.02,101330.42,60.83,347.98,0.97,0.76
14.16,6.13,101419.28,187.12,348.98,0.99,0.69
14.12,6.23,101452.07,326.65,351.19,1,0.68
15.79,5.57,101415.99,445.07,350.5,1,0.6
16.78,5.34,101373.06,665.56,342.56,0.99,0.55
16.93,5.38,101395.64,752.97,346.59,0.98,0.54
18.56,4.94,101360.75,786.56,350.39,0.96,0.5
18.76,4.8,101287.11,803.47,341.85,0.83,0.5
18.96,4.62,101248.49,771.95,346.25,0.71,0.51
19.44,4.67,101195.54,637.26,346.52,0.57,0.52
19.47,4.25,101139.82,497.97,344,0.49,0.53
19.06,3.77,101136.46,331.5,323.35,0.24,0.57
18.89,4.04,101196.81,154.74,322.94,0.11,0.59
17.04,4.22,101268.45,19.63,318.11,0.35,0.67
16.98,3.26,101299.77,0,325.39,0.45,0.7
15.05,2,101280.57,0,314.74,0.37,0.8
14.99,1.45,101245.83,0,314.2,0.43,0.79
15.54,1.23,101211.7,0,311.57,0.42,0.76
14.23,1.06,101170.05,0,307.76,0.26,0.82
13.43,1.16,101098.82,0,304.87,0.18,0.85
13.26,1.59,101062.55,0,300.08,0.04,0.86
12.66,1.68,101038.06,0,298.29,0.17,0.88
12.61,1.99,101031.57,0,304.61,0.63,0.89
13.21,2.62,101059.24,16.31,315.02,0.13,0.87
13.36,2.61,101126.07,163.73,309.35,0.11,0.86
17.29,3.16,101167.44,368.69,315.11,0.03,0.7
17.61,3.5,101144.75,588.72,313.31,0.05,0.68
20.55,3.58,101076.7,736.51,319.81,0.34,0.54
22.71,3.48,101053.4,804.63,337.17,0.64,0.44
23.12,3.34,101018.7,690.72,371.1,0.55,0.43
25.1,4.03,100986.27,633.2,372.82,0.96,0.37
24.5,4.37,101003.6,571.33,379.58,0.83,0.4
24.11,3.5,100961.56,603.69,379.74,0.26,0.42
23.85,2.84,100903.16,615.85,367.4,0.16,0.46
24.39,3.24,100886.26,491.04,351.88,0.24,0.46
24.34,4.47,100928.75,313.56,356.26,0.12,0.45
23.91,5.07,101026.76,156.68,346.67,0.05,0.48
18.46,4.3,101109.46,19.28,334.15,0.15,0.79
18.19,4.04,101202.81,0,330.23,0.54,0.8
16.5,3.86,101235.62,0,348.77,0.9,0.84
16.65,3.27,101241.51,0,380.14,0.99,0.81
16.75,2.71,101187.31,0,376.8,1,0.79
15.78,2.41,101165.02,0,375.89,1,0.81
15.73,2.25,101131.53,0,372.2,1,0.8
15.65,2,101114.68,0,364.24,0.99,0.8
15.34,1.65,101106.12,0,370.39,0.96,0.8
15.29,1.46,101118.6,0,363.24,0.93,0.8
15.3,1.36,101184.63,10.44,367.63,0.93,0.79
14.88,1.27,101217.17,98.32,359.3,0.89,0.82
17.38,0.58,101237.75,243.37,355.84,0.63,0.73
17.43,0.34,101240.48,463.15,347.79,0.27,0.73
20.33,0.1,101171.34,693.43,336.16,0.2,0.62
21.84,0.92,101108.36,901.53,336.85,0.09,0.55
22.4,1.61,101084.91,992.22,342.37,0.08,0.53
24.76,1.99,101025.2,1030.43,347.74,0.34,0.45
24.87,2.92,101011.38,918.91,358.25,0.39,0.43
25.26,3.42,100950.77,843.1,365.21,0.18,0.42
24.64,3.28,100921.48,671.3,378.88,0.42,0.44
24.25,3.14,100906.41,445.1,370.98,0.92,0.45
24.32,2.75,100919.91,275,376.7,0.91,0.45
24.44,2.92,100861.1,132.46,372,0.64,0.44
23.18,1.93,100851.84,15.33,366.95,0.67,0.55
23.36,2.15,100863.39,0,359.5,0.74,0.55
22.17,1.97,100823.64,0,352.59,0.55,0.61
21.39,2.09,100797.6,0,362.49,0.72,0.67
21.1,2.07,100736.41,0,358.97,0.81,0.69
20.52,2.44,100641.7,0,347.78,0.91,0.71
20.24,2.98,100621.66,0,343.41,0.94,0.72
20.64,2.66,100573.61,0,362.86,0.9,0.7
20.11,1.93,100588.07,0,351.6,0.82,0.7
20.57,2.45,100590.19,0,359.11,0.43,0.66
20.39,2.79,100598.98,14.95,347.15,0.67,0.68
